2022-03-30T16:34:48.534929106Z stdout: CANARY ::> Connection Establish -> Time = 0.009201288223266602.s
2022-03-30T16:35:29.034160805Z stdout: CANARY ::> Query 5 completed -> Time = 40.508644104003906.s
2022-03-30T16:35:31.046101422Z stdout: CANARY ::> Query 6 completed -> Time = 42.52034258842468.s
2022-03-30T16:35:31.046128162Z stdout: CANARY ::> State 10 collection -> Time = 42.52038931846619.s
2022-03-30T16:35:31.046131716Z stdout: CANARY ::> Iteration 11 starting -> Time = 42.52039837837219.s
2022-03-30T16:35:31.468170475Z stdout: CANARY ::> Query 1 completed -> Time = 42.94244074821472.s
2022-03-30T16:35:31.942340983Z stdout: CANARY ::> Query 2 completed -> Time = 43.41659903526306.s
2022-03-30T16:35:31.978638875Z stdout: CANARY ::> Query 3 completed -> Time = 43.45288801193237.s
2022-03-30T16:35:32.941155337Z stdout: CANARY ::> Query 4 completed -> Time = 44.41543674468994.s
2022-03-30T16:35:32.941675758Z stdout: CANARY ::> Query 5 completed -> Time = 44.41616129875183.s
2022-03-30T16:35:34.928687851Z stdout: CANARY ::> Query 6 completed -> Time = 46.402899742126465.s
2022-03-30T16:35:34.928720975Z stdout: CANARY ::> State 11 collection -> Time = 46.40297317504883.s
2022-03-30T16:35:34.928724774Z stdout: CANARY ::> Iteration 12 starting -> Time = 46.402996301651.s
2022-03-30T16:35:35.362727841Z stdout: CANARY ::> Query 1 completed -> Time = 46.83701491355896.s
2022-03-30T16:35:35.84873955Z  stdout: CANARY ::> Query 2 completed -> Time = 47.32304096221924.s
2022-03-30T16:35:35.882833028Z stdout: CANARY ::> Query 3 completed -> Time = 47.35722875595093.s
2022-03-30T16:35:36.780195374Z stdout: CANARY ::> Query 4 completed -> Time = 48.25454235076904.s
2022-03-30T16:35:36.780706145Z stdout: CANARY ::> Query 5 completed -> Time = 48.25518560409546.s
2022-03-30T16:35:38.77943687Z  stdout: CANARY ::> Query 6 completed -> Time = 50.253700256347656.s
2022-03-30T16:35:38.779455165Z stdout: CANARY ::> State 12 collection -> Time = 50.253737449645996.s
2022-03-30T16:35:38.779458734Z stdout: CANARY ::> Iteration 13 starting -> Time = 50.253746509552.s
2022-03-30T16:35:39.220183381Z stdout: CANARY ::> Query 1 completed -> Time = 50.69446897506714.s
2022-03-30T16:35:39.694374708Z stdout: CANARY ::> Query 2 completed -> Time = 51.16861343383789.s
2022-03-30T16:35:39.731156612Z stdout: CANARY ::> Query 3 completed -> Time = 51.20557951927185.s
2022-03-30T16:35:40.591605426Z stdout: CANARY ::> Query 4 completed -> Time = 52.06588339805603.s
2022-03-30T16:35:40.592072171Z stdout: CANARY ::> Query 5 completed -> Time = 52.06653380393982.s
2022-03-30T16:35:42.580688458Z stdout: CANARY ::> Query 6 completed -> Time = 54.05492830276489.s
2022-03-30T16:35:42.580706812Z stdout: CANARY ::> State 13 collection -> Time = 54.05496835708618.s
2022-03-30T16:35:42.580710246Z stdout: CANARY ::> Iteration 14 starting -> Time = 54.05497407913208.s
2022-03-30T16:35:43.00835438Z  stdout: CANARY ::> Query 1 completed -> Time = 54.48262166976929.s
2022-03-30T16:35:43.484920042Z stdout: CANARY ::> Query 2 completed -> Time = 54.95919632911682.s
2022-03-30T16:35:43.519914031Z stdout: CANARY ::> Query 3 completed -> Time = 54.99424433708191.s
2022-03-30T16:35:44.423869769Z stdout: CANARY ::> Query 4 completed -> Time = 55.898120164871216.s
2022-03-30T16:35:44.424397511Z stdout: CANARY ::> Query 5 completed -> Time = 55.89887809753418.s
2022-03-30T16:35:46.436480931Z stdout: CANARY ::> Query 6 completed -> Time = 57.91073441505432.s
2022-03-30T16:35:46.436503481Z stdout: CANARY ::> State 14 collection -> Time = 57.91078162193298.s
2022-03-30T16:35:46.436506676Z stdout: CANARY ::> Iteration 15 starting -> Time = 57.91079020500183.s
2022-03-30T16:35:46.860683872Z stdout: CANARY ::> Query 1 completed -> Time = 58.33495783805847.s
2022-03-30T16:35:47.33820308Z  stdout: CANARY ::> Query 2 completed -> Time = 58.81244683265686.s
2022-03-30T16:35:47.374860268Z stdout: CANARY ::> Query 3 completed -> Time = 58.84924793243408.s
2022-03-30T16:35:48.263979174Z stdout: CANARY ::> Query 4 completed -> Time = 59.73833751678467.s
2022-03-30T16:35:48.264863346Z stdout: CANARY ::> Query 5 completed -> Time = 59.73934006690979.s
2022-03-30T16:35:50.213820898Z stdout: CANARY ::> Query 6 completed -> Time = 61.68807768821716.s
2022-03-30T16:35:50.213837078Z stdout: CANARY ::> State 15 collection -> Time = 61.68812394142151.s
2022-03-30T16:35:50.21383993Z  stdout: CANARY ::> Iteration 16 starting -> Time = 61.6881320476532.s
2022-03-30T16:35:50.643970762Z stdout: CANARY ::> Query 1 completed -> Time = 62.1182656288147.s
2022-03-30T16:35:51.119741476Z stdout: CANARY ::> Query 2 completed -> Time = 62.59400773048401.s
2022-03-30T16:35:51.154393168Z stdout: CANARY ::> Query 3 completed -> Time = 62.628655672073364.s
2022-03-30T16:35:52.020835981Z stdout: CANARY ::> Query 4 completed -> Time = 63.495102882385254.s
2022-03-30T16:35:52.021321452Z stdout: CANARY ::> Query 5 completed -> Time = 63.49580430984497.s
2022-03-30T16:35:54.014612472Z stdout: CANARY ::> Query 6 completed -> Time = 65.48898434638977.s
2022-03-30T16:35:54.014632116Z stdout: CANARY ::> State 16 collection -> Time = 65.48903131484985.s
2022-03-30T16:35:54.014634858Z stdout: CANARY ::> Iteration 17 starting -> Time = 65.48903918266296.s
2022-03-30T16:35:54.442213836Z stdout: CANARY ::> Query 1 completed -> Time = 65.91646265983582.s
2022-03-30T16:35:54.915334477Z stdout: CANARY ::> Query 2 completed -> Time = 66.38961291313171.s
2022-03-30T16:35:54.951131258Z stdout: CANARY ::> Query 3 completed -> Time = 66.42549276351929.s
2022-03-30T16:35:55.826645333Z stdout: CANARY ::> Query 4 completed -> Time = 67.30092120170593.s
2022-03-30T16:35:55.827195866Z stdout: CANARY ::> Query 5 completed -> Time = 67.30167937278748.s
2022-03-30T16:35:57.78255975Z  stdout: CANARY ::> Query 6 completed -> Time = 69.25679016113281.s
2022-03-30T16:35:57.782577965Z stdout: CANARY ::> State 17 collection -> Time = 69.25683617591858.s
2022-03-30T16:35:57.782581054Z stdout: CANARY ::> Iteration 18 starting -> Time = 69.25684452056885.s
2022-03-30T16:35:58.208103312Z stdout: CANARY ::> Query 1 completed -> Time = 69.68238544464111.s
2022-03-30T16:35:58.679375908Z stdout: CANARY ::> Query 2 completed -> Time = 70.15371465682983.s
2022-03-30T16:35:58.716404277Z stdout: CANARY ::> Query 3 completed -> Time = 70.19069504737854.s
2022-03-30T16:35:59.573010403Z stdout: CANARY ::> Query 4 completed -> Time = 71.04728174209595.s
2022-03-30T16:35:59.573524782Z stdout: CANARY ::> Query 5 completed -> Time = 71.04797101020813.s
2022-03-30T16:36:01.608907413Z stdout: CANARY ::> Query 6 completed -> Time = 73.08315467834473.s
2022-03-30T16:36:01.608924275Z stdout: CANARY ::> State 18 collection -> Time = 73.08319878578186.s
2022-03-30T16:36:01.608927593Z stdout: CANARY ::> Iteration 19 starting -> Time = 73.08320808410645.s
2022-03-30T16:36:02.037565465Z stdout: CANARY ::> Query 1 completed -> Time = 73.51183772087097.s
2022-03-30T16:36:02.512439867Z stdout: CANARY ::> Query 2 completed -> Time = 73.98677611351013.s
2022-03-30T16:36:02.549402835Z stdout: CANARY ::> Query 3 completed -> Time = 74.02375984191895.s
2022-03-30T16:36:03.514946471Z stdout: CANARY ::> Query 4 completed -> Time = 74.98928642272949.s
2022-03-30T16:36:03.515754271Z stdout: CANARY ::> Query 5 completed -> Time = 74.99023294448853.s
2022-03-30T16:36:05.531331245Z stdout: CANARY ::> Query 6 completed -> Time = 77.00572967529297.s
2022-03-30T16:36:05.531352346Z stdout: CANARY ::> State 19 collection -> Time = 77.00577473640442.s
2022-03-30T16:36:05.531355094Z stdout: CANARY ::> Iteration 20 starting -> Time = 77.00578260421753.s
2022-03-30T16:36:05.955575305Z stdout: CANARY ::> Query 1 completed -> Time = 77.42997813224792.s
2022-03-30T16:36:06.423284657Z stdout: CANARY ::> Query 2 completed -> Time = 77.89761686325073.s
